Country,Year,overallreadiness,socialreadiness,economicreadiness,governmentreadiness,ecosystemvulnerability,exposure,foodvulnerability,habitatvulnerability,healthvulnerability,watervulnerability,overallvulnerability,GDPPerCapita,PercGDPContributionOfAgriForestFish,publicvoiceandgovaccountabilityindex
Brunei Darussalam,1998,-0.185637333,0.181169925,0.522558853,0.647810191,0.397471636,0.404784518,0.439432986,0.621513604,0.353664744,0.285867341,0.097722154,12694.14896,1.410283186,-0.7231966
Cambodia,1998,-0.064383132,0.197000591,0.31385948,0.317038632,0.462165375,0.393904762,0.648444743,0.565337161,0.507733325,0.566929534,0.066431526,268.9903722,44.47995896,-0.815466
Indonesia,1998,-0.004678095,0.24501412,0.503789524,0.309136383,0.505737309,0.517932426,0.568543442,0.541240446,0.482699903,0.4190756,0.006582093,463.9481582,18.08285295,-1.02447
Lao PDR,1998,-0.042762589,0.200416565,0.330294798,0.372512193,0.557445536,0.39377682,0.642294572,0.554665972,0.625186619,0.462755507,0.085791895,248.8390915,33.93876567,-1.306519
Myanmar,1998,-0.06998223,0.113388805,0.492702978,0.202786194,0.555568372,0.565127233,0.568510066,0.594374495,0.675945391,0.402850367,0.07380141,101.1389517,,-1.918437
Malaysia,1998,-0.001584056,0.193802252,0.398175582,0.573015127,0.368457123,0.442959989,0.495289294,0.513888921,0.384408011,0.278259303,-0.070908307,3263.334883,13.31224426,-0.4219548
Philippines,1998,-0.016088961,0.198422982,0.313275977,0.494482947,0.437345486,0.492328186,0.524687363,0.608801516,0.457444024,0.51916615,0.022538917,997.5936933,14.74667331,0.4197113
Singapore,1998,0.077842394,0.424401592,0.516626578,0.837333521,0.348220438,0.538326679,0.270268356,0.451661523,0.304045072,0.549223305,0.039804101,21829.29987,0.111378367,0.1125008
Thailand,1998,0.037259221,0.223940355,0.430365467,0.560001652,0.502086346,0.457569648,0.501219765,0.352561069,0.424575193,0.436078249,-0.022188778,1845.82887,10.25922711,0.3824737
Viet Nam,1998,-0.000238511,0.211916486,0.383879773,0.437023441,0.558681373,0.490791447,0.547341098,0.50380418,0.474012793,0.468389682,0.036804874,348.3243173,25.78078041,-1.347713
Canada,1998,0.132600907,0.46459368,0.485895449,0.829813643,0.400070278,0.433493772,0.238858539,0.503275351,0.154652472,0.204680715,-0.112791699,21024.58507,2.16737424,1.551413
France,1998,0.136489957,0.56887303,0.455845074,0.72644142,0.292832098,0.396666627,0.310886181,0.391264639,0.252461266,0.306683895,-0.104316388,24974.27386,2.362459834,1.171782
Germany,1998,0.165974964,0.572416349,0.475100654,0.820415586,0.285968729,0.346770314,0.215487568,0.364839095,0.24419802,0.400571787,-0.09541495,27289.05936,0.975317958,1.291888
Japan,1998,0.160297832,0.624565018,0.503400523,0.719085078,0.474715573,0.519500569,0.27484524,0.468036847,0.137215185,0.381987168,-0.046829349,32423.75561,1.603288292,0.9467865
Italy,1998,0.017679794,0.395486924,0.359080919,0.663858601,0.34808773,0.441073708,0.31924141,0.385321101,0.204448325,0.329266557,-0.077072206,22318.1373,2.768857277,1.063974
United Kingdom,1998,0.17509306,0.538834711,0.479379672,0.852718536,0.290555583,0.389993666,0.195652204,0.40085587,0.259085724,0.360249569,-0.111069476,28269.32251,0.965524011,1.195277
United States,1998,0.135620516,0.56660118,0.522558853,0.794812398,0.43252095,0.481034463,0.355105932,0.450257726,0.272063709,0.277329653,-0.036401147,32853.67695,1.213996911,1.336877
Brunei Darussalam,1999,-0.188088219,0.189580559,0.522558853,0.652525063,0.398021573,0.404784518,0.439737469,0.61976854,0.332218926,0.286010291,0.098640546,14101.17285,1.234980121,
Cambodia,1999,-0.058051054,0.197793804,0.31385948,0.336689407,0.46135536,0.393904762,0.654288149,0.56005836,0.52229064,0.566929611,0.072530207,295.9031784,40.90385299,
Indonesia,1999,-0.000433078,0.251842972,0.503789524,0.315568779,0.514843109,0.517932426,0.56430061,0.542964907,0.482699903,0.41953244,0.007229799,671.0986097,19.6126764,
Lao PDR,1999,-0.052264292,0.203275016,0.330294798,0.342748902,0.557445536,0.39377682,0.6405846,0.554960316,0.622633242,0.463653571,0.085538527,277.810213,34.31197937,
Myanmar,1999,-0.071703775,0.118190116,0.492702978,0.193966909,0.555568372,0.565127233,0.570569783,0.593192028,0.675928446,0.402935105,0.072939554,122.2106391,,
Malaysia,1999,-0.000652342,0.206460031,0.398175582,0.571329645,0.367763067,0.442959989,0.492363481,0.514729546,0.384196201,0.279198911,-0.068882741,3492.670125,10.84238805,
Philippines,1999,-0.030639215,0.20105998,0.313275977,0.449252863,0.440753249,0.492328186,0.519070206,0.607373627,0.437227883,0.519062108,0.018404017,1122.032017,15.19435542,
Singapore,1999,0.079465878,0.457900161,0.516626578,0.843010461,0.34740996,0.538326679,0.269083451,0.449931262,0.24046971,0.549240207,0.03631598,21796.08444,0.111245962,
Thailand,1999,0.040305923,0.234373915,0.430365467,0.563282498,0.511243551,0.457569648,0.493062493,0.351266304,0.423612726,0.436548636,-0.021182322,2033.258009,8.892995278,
Viet Nam,1999,-0.000659348,0.211660702,0.383879773,0.437278279,0.558681373,0.490791447,0.547083974,0.496049369,0.473419724,0.469266906,0.035071342,362.9195028,25.43443799,
Canada,1999,0.132907238,0.485253306,0.485895449,0.831834847,0.402385827,0.433493772,0.236700751,0.502342263,0.291676958,0.204676787,-0.084745785,22315.24667,2.196212585,
France,1999,0.134382689,0.57139585,0.455845074,0.73113152,0.29328298,0.396666627,0.309481319,0.391715525,0.161738568,0.306997954,-0.116486111,24681.53701,2.236261411,
Germany,1999,0.166663235,0.584885855,0.475100654,0.823519489,0.286312029,0.346770314,0.21629315,0.365580386,0.243676966,0.399104747,-0.092500565,26734.94254,0.958397265,
Japan,1999,0.16499524,0.634166016,0.503400523,0.727165356,0.474815738,0.519500569,0.271725489,0.469230592,0.133766203,0.381604085,-0.046851073,36610.16832,1.576060291,
Italy,1999,0.019465595,0.406358835,0.359080919,0.666649277,0.344819368,0.441073708,0.317690126,0.386383564,0.203452815,0.328728994,-0.075999445,22005.05454,2.722232363,
United Kingdom,1999,0.176715129,0.55787643,0.479379672,0.849642366,0.289078995,0.389993666,0.191154334,0.400417691,0.258883798,0.360337212,-0.110018871,28726.85721,0.876608732,
United States,1999,0.133608461,0.57633968,0.522558853,0.802711181,0.43250251,0.481034463,0.353350543,0.450167151,0.270651638,0.278543429,-0.031147531,34513.5615,1.151182522,
Brunei Darussalam,2000,-0.193579624,0.195575476,0.522558853,0.657239936,0.398571509,0.404784518,0.440049137,0.617344736,0.310773107,0.286153241,0.10095901,18012.50219,1.024413492,-0.712919
Cambodia,2000,-0.05172344,0.198616047,0.31385948,0.356340182,0.46135536,0.393904762,0.660130515,0.554770925,0.508944881,0.566929688,0.068245537,300.613679,35.91870323,-0.7807828
Indonesia,2000,0.000540895,0.252038868,0.503789524,0.322001175,0.525298933,0.517932426,0.530863246,0.523638291,0.482699903,0.41998928,0.001554319,780.1902047,15.67870444,-0.2701759
Lao PDR,2000,-0.061735548,0.206188922,0.330294798,0.312985611,0.557445536,0.39377682,0.638813556,0.555023607,0.620079866,0.464551636,0.085218643,325.1869371,33.63025103,-1.341206
Myanmar,2000,-0.073611611,0.122993419,0.492702978,0.185147625,0.555568372,0.565127233,0.57263356,0.579384706,0.675843722,0.403019843,0.070265392,146.6045788,,-2.039811
Malaysia,2000,-3.09e-06,0.224888272,0.398175582,0.569644164,0.368419036,0.442959989,0.484095014,0.513742416,0.355600081,0.280138519,-0.070415234,4043.662923,8.599021888,-0.4210822
Philippines,2000,-0.045340756,0.204282281,0.313275977,0.404022779,0.444161013,0.492328186,0.513200301,0.606171341,0.417011742,0.518958066,0.014019696,1072.801752,13.94109439,0.2323654
Singapore,2000,0.086596162,0.528176816,0.516626578,0.848687401,0.347409497,0.538326679,0.266621311,0.448218552,0.23794747,0.54925711,0.047507783,23852.32703,0.092131733,0.1304971
Thailand,2000,0.040797892,0.238167717,0.430365467,0.566563343,0.520400757,0.457569648,0.486417086,0.350581511,0.392837499,0.437019024,-0.02484239,2007.735271,8.499848121,0.4678029
